objectId,geoPosition_____type,geoPosition__latitude,geoPosition__longitude,countryCode,postalCode,placeName,adminName1,adminName2,adminName3
TJJ2gQ6FOI,GeoPoint,19.9243,73.3195,IN,401603,Sankhare,Maharashtra,Thane,Vikramgad
EBCBrCVsh8,GeoPoint,19.9243,73.3195,IN,401603,Sakharshet,Maharashtra,Thane,Jawhar
CTFaxCKwv2,GeoPoint,19.9095,72.8126,IN,401603,Sakhare,Maharashtra,Thane,Vikramgad
6kBMlqM7KC,GeoPoint,19.9243,73.3195,IN,401603,Pimpalshet,Maharashtra,Thane,Jawhar
ocHAIm1CyV,GeoPoint,19.5992,73.1509,IN,401603,Pathardi,Maharashtra,Thane,Mokhada
IxGBPf4hfC,GeoPoint,19.9243,73.3195,IN,401603,Nyhale Khurdh,Maharashtra,Thane,Jawhar
AtsUxBrskS,GeoPoint,19.9243,73.3195,IN,401603,Nyhale Budruk,Maharashtra,Thane,Jawhar
AMqJNcosnU,GeoPoint,19.76,72.6884,IN,401603,Nandgaon,Maharashtra,Thane,Jawhar
2uxBEiwi3k,GeoPoint,19.9243,73.3195,IN,401603,Kogade,Maharashtra,Thane,Jawhar
0Nq3aqHnJ2,GeoPoint,19.9243,73.3195,IN,401603,Khuded,Maharashtra,Thane,Vikramgad
NPvwIMmdoI,GeoPoint,19.5992,73.1509,IN,401603,Karhe,Maharashtra,Thane,Vikramgad
8p9zVwheoe,GeoPoint,19.9121,73.2268,IN,401603,Jawhar,Maharashtra,Thane,Jawhar
I8oABbldzW,GeoPoint,19.9243,73.3195,IN,401603,Jamsar,Maharashtra,Thane,Jawhar
M8Bcrq0V2J,GeoPoint,19.9243,73.3195,IN,401603,Dhanoshi,Maharashtra,Thane,Jawhar
bcvEggTdyW,GeoPoint,19.9243,73.3195,IN,401603,Dengachimet,Maharashtra,Thane,Jawhar
aGNQTaU9dT,GeoPoint,19.9243,73.3195,IN,401603,Dehere,Maharashtra,Thane,Jawhar
9y68w3sID2,GeoPoint,19.5992,73.1509,IN,401603,Dabheri,Maharashtra,Thane,Dahanu
n2rx2r8VYR,GeoPoint,19.5422,74.7254,IN,401604,Vashala,Maharashtra,Thane,Mokhada
kuNADHLrBt,GeoPoint,19.5422,74.7254,IN,401604,Udhale,Maharashtra,Thane,Mokhada
xMWCJjucNf,GeoPoint,19.5422,74.7254,IN,401604,Poshera,Maharashtra,Thane,Mokhada
eTDRwC2WU8,GeoPoint,19.5422,74.7254,IN,401604,Morhanda,Maharashtra,Thane,Mokhada
HKaV4OGZAK,GeoPoint,19.9365,73.3403,IN,401604,Mokhada,Maharashtra,Thane,Mokhada
5ohlLHYyve,GeoPoint,19.5422,74.7254,IN,401604,Koch,Maharashtra,Thane,Mokhada
ENNsBYWb7G,GeoPoint,19.5422,74.7254,IN,401604,Khodale,Maharashtra,Thane,Mokhada
qyeKGuRXNO,GeoPoint,19.5422,74.7254,IN,401604,Kharegaon,Maharashtra,Thane,Mokhada
odbOCudpgD,GeoPoint,19.5422,74.7254,IN,401604,Gomghar,Maharashtra,Thane,Mokhada
14pK5Cz9CP,GeoPoint,19.5992,73.1509,IN,401604,Dolhara,Maharashtra,Thane,Mokhada
Dw3HkHRU21,GeoPoint,19.5992,73.1509,IN,401604,Chas,Maharashtra,Thane,Mokhada
3rm6ug2fFf,GeoPoint,19.5422,74.7254,IN,401604,Beriste,Maharashtra,Thane,Mokhada
CjFjaggOUQ,GeoPoint,19.5422,74.7254,IN,401604,Ase,Maharashtra,Thane,Mokhada
BSiAuPX4sX,GeoPoint,19.7623,73.5785,IN,401605,Vikramgad,Maharashtra,Thane,Vikramgad
sMkVOXR3p6,GeoPoint,19.7623,73.5785,IN,401605,Sukhasale,Maharashtra,Thane,Vikramgad
zG6fIFA54Q,GeoPoint,19.7623,73.5785,IN,401605,Ondhe,Maharashtra,Thane,Vikramgad
LmtjAF3pZu,GeoPoint,19.7623,73.5785,IN,401605,Medhi,Maharashtra,Thane,Vikramgad
e8MKa1SuLS,GeoPoint,19.7623,73.5785,IN,401605,Khoste,Maharashtra,Thane,Vikramgad
